title,original_title,year,duration_mins,rating,votes,countries_available,url,mubi_url
The Beast,La Bête,1975,98,6.3,6862,210,https://mubifinder.com/movie/la-bete/,https://mubi.com/films/la-bete
The Big Feast,La grande bouffe,1973,131,8.0,5077,179,https://mubifinder.com/movie/la-grande-bouffe/,https://mubi.com/films/la-grande-bouffe
Mouchette,,1967,81,8.4,10499,185,https://mubifinder.com/movie/mouchette/,https://mubi.com/films/mouchette
2 or 3 Things I Know About Her,2 ou 3 choses que je sais d'elle,1967,88,7.5,9101,187,https://mubifinder.com/movie/2-or-3-things-i-know-about-her/,https://mubi.com/films/2-or-3-things-i-know-about-her
Masculin Féminin,Masculin féminin: 15 faits précis,1966,105,8.1,19557,181,https://mubifinder.com/movie/masculin-feminin/,https://mubi.com/films/masculin-feminin
Au hasard Balthazar,,1966,96,8.5,13154,154,https://mubifinder.com/movie/au-hasard-balthazar/,https://mubi.com/films/au-hasard-balthazar
The Snails,Les escargots,1966,11,7.9,9224,235,https://mubifinder.com/movie/the-snails/,https://mubi.com/films/the-snails
...A Valparaíso,,1963,27,8.7,13895,248,https://mubifinder.com/movie/a-valparaiso/,https://mubi.com/films/a-valparaiso
"Muriel, or The Time of Return",Muriel ou le Temps d'un retour,1963,116,7.6,3040,216,https://mubifinder.com/movie/muriel-or-the-time-of-return/,https://mubi.com/films/muriel-or-the-time-of-return
La jetée,,1962,28,9.0,32977,174,https://mubifinder.com/movie/la-jetee/,https://mubi.com/films/la-jetee
Chronicle of a Summer,Chronique d'un été,1961,90,8.8,4713,221,https://mubifinder.com/movie/chronicle-of-a-summer/,https://mubi.com/films/chronicle-of-a-summer
Hiroshima mon amour,,1959,90,8.7,25161,174,https://mubifinder.com/movie/hiroshima-mon-amour/,https://mubi.com/films/hiroshima-mon-amour
Broadway by Light,,1958,10,7.7,5368,248,https://mubifinder.com/movie/broadway-by-light/,https://mubi.com/films/broadway-by-light
Letter from Siberia,Lettre de Sibérie,1958,61,8.4,3189,202,https://mubifinder.com/movie/letter-from-siberia/,https://mubi.com/films/letter-from-siberia
Night and Fog,Nuit et brouillard,1956,33,9.4,22700,184,https://mubifinder.com/movie/night-and-fog/,https://mubi.com/films/night-and-fog
A Strange Colour of Dream,,2024,74,7.2,65,1,https://mubifinder.com/movie/a-strange-colour-of-dream/,https://mubi.com/films/a-strange-colour-of-dream
Eve the Killer Momentary Documentary,,2025,16,7.0,90,1,https://mubifinder.com/movie/eve-the-killer-momentary-documentary/,https://mubi.com/films/eve-the-killer-momentary-documentary
The Girl from the Marsh Croft,,1934,76,8.7,333,1,https://mubifinder.com/movie/aysel-the-daughter-of-the-marsh/,https://mubi.com/films/aysel-the-daughter-of-the-marsh
Short Sharp Shock,Kurz und Schmerzlos,1998,100,8.0,10383,192,https://mubifinder.com/movie/short-sharp-shock/,https://mubi.com/films/short-sharp-shock
Trainspotting,,1996,94,8.1,29722,1,https://mubifinder.com/movie/trainspotting/,https://mubi.com/films/trainspotting
Kadıköy'ün En İyi Falcısı,,2023,16,6.5,1315,1,https://mubifinder.com/movie/kadikoy-un-en-iyi-falcisi/,https://mubi.com/films/kadikoy-un-en-iyi-falcisi
At Berkeley,,2013,244,8.2,350,215,https://mubifinder.com/movie/at-berkeley/,https://mubi.com/films/at-berkeley
Apollon by Day Athena by Night,Gündüz Apollon Gece Athena,2024,113,8.4,2166,1,https://mubifinder.com/movie/apollon-by-day-athena-by-night/,https://mubi.com/films/apollon-by-day-athena-by-night
Androktones,,2018,9,6.6,165,1,https://mubifinder.com/movie/androktones/,https://mubi.com/films/androktones
Whores' Glory,,2011,119,8.3,4907,204,https://mubifinder.com/movie/whores-glory/,https://mubi.com/films/whores-glory
Utøya - July 22,Utøya 22. Juli,2018,93,8.2,2781,1,https://mubifinder.com/movie/u-july-22/,https://mubi.com/films/u-july-22
The Store,,1983,119,8.1,565,215,https://mubifinder.com/movie/the-store/,https://mubi.com/films/the-store
