title,original_title,year,duration_mins,rating,votes,countries_available,url,mubi_url
Collage,Kolaj,2022,9,8.3,228,1,https://mubifinder.com/movie/collage-2022/,https://mubi.com/films/collage-2022
The Crowd,,2022,7,6.5,125,1,https://mubifinder.com/movie/the-crowd-2022/,https://mubi.com/films/the-crowd-2022
There Is Nothing Called Home,Ev Diye Bir Şey Yok,2022,4,6.0,231,1,https://mubifinder.com/movie/there-is-nothing-called-home/,https://mubi.com/films/there-is-nothing-called-home
How Did the Pandas Become Extinct?,Pandaların Nesli Nasıl Tükendi?,2021,4,7.1,267,1,https://mubifinder.com/movie/how-did-the-pandas-become-extinct/,https://mubi.com/films/how-did-the-pandas-become-extinct
Vision,,2023,7,6.0,112,1,https://mubifinder.com/movie/vision-2023/,https://mubi.com/films/vision-2023
As If It Could,,2023,13,7.1,136,1,https://mubifinder.com/movie/as-if-it-could/,https://mubi.com/films/as-if-it-could
The Maze,,2022,5,7.1,156,1,https://mubifinder.com/movie/the-maze-selcuk-oren/,https://mubi.com/films/the-maze-selcuk-oren
Game,Oyun,2022,4,7.0,190,1,https://mubifinder.com/movie/game-2022/,https://mubi.com/films/game-2022
Let the Sunshine In,Un beau soleil intérieur,2017,95,6.7,5480,2,https://mubifinder.com/movie/let-the-sunshine-in/,https://mubi.com/films/let-the-sunshine-in
Grand Tour,,2024,129,7.8,5317,172,https://mubifinder.com/movie/grand-tour/,https://mubi.com/films/grand-tour
Asparagus,,1979,18,8.1,16022,248,https://mubifinder.com/movie/asparagus/,https://mubi.com/films/asparagus
Nun or Never!,,2023,11,8.7,6628,234,https://mubifinder.com/movie/nun-or-never/,https://mubi.com/films/nun-or-never
#21XOXO,,2019,10,7.0,4165,248,https://mubifinder.com/movie/21xoxo/,https://mubi.com/films/21xoxo
Toomas Beneath the Valley of the Wild Wolves,,2019,18,8.2,5087,248,https://mubifinder.com/movie/toomas-beneath-the-valley-of-the-wild-wolves/,https://mubi.com/films/toomas-beneath-the-valley-of-the-wild-wolves
Tram,,2012,8,8.1,5283,248,https://mubifinder.com/movie/tram/,https://mubi.com/films/tram
Desire Pie,,1977,5,7.8,4996,246,https://mubifinder.com/movie/desire-pie/,https://mubi.com/films/desire-pie
International Departures,Dış Hatlar,2021,17,6.2,741,1,https://mubifinder.com/movie/international-departures/,https://mubi.com/films/international-departures
Amélie,Le fabuleux destin d'Amélie Poulain,2001,122,8.3,38238,1,https://mubifinder.com/movie/amelie/,https://mubi.com/films/amelie
Dinner in America,,2020,108,8.4,800,1,https://mubifinder.com/movie/dinner-in-america/,https://mubi.com/films/dinner-in-america
Bug Diner,,2024,7,8.0,8008,248,https://mubifinder.com/movie/bug-diner/,https://mubi.com/films/bug-diner
Ayka,Айка,2018,110,8.4,1322,1,https://mubifinder.com/movie/my-little-one/,https://mubi.com/films/my-little-one
Varda by Agnès,Varda par Agnès,2019,120,9.0,2301,1,https://mubifinder.com/movie/varda-by-agnes/,https://mubi.com/films/varda-by-agnes
Bring Them Down,,2024,106,7.7,14934,76,https://mubifinder.com/movie/bring-them-down/,https://mubi.com/films/bring-them-down
Two Lines,İki Çizgi,2008,93,5.4,516,42,https://mubifinder.com/movie/two-lines/,https://mubi.com/films/two-lines
Wajib,,2017,97,8.7,1595,1,https://mubifinder.com/movie/wajib/,https://mubi.com/films/wajib
Rush,,2013,117,7.2,1926,1,https://mubifinder.com/movie/rush-2013/,https://mubi.com/films/rush-2013
A Strange Sight To Behold: The Van Lake Monster,Seyirlik Bir Gariplik: Van Gölü Canavarı,2022,64,8.4,300,1,https://mubifinder.com/movie/a-strange-sight-to-behold-the-van-lake-monster/,https://mubi.com/films/a-strange-sight-to-behold-the-van-lake-monster
Crossing,,2024,106,9.2,29650,68,https://mubifinder.com/movie/crossing-2023-levan-akin/,https://mubi.com/films/crossing-2023-levan-akin
Birds of Passage,Pájaros de verano,2018,125,8.0,1059,1,https://mubifinder.com/movie/birds-of-passage/,https://mubi.com/films/birds-of-passage
Hâl,,2022,11,4.7,249,1,https://mubifinder.com/movie/hal-2022/,https://mubi.com/films/hal-2022
Muse,,2024,6,7.7,7715,248,https://mubifinder.com/movie/muse-2024/,https://mubi.com/films/muse-2024
How to Disappear,Nasıl Kaybolunur,2023,16,6.0,480,1,https://mubifinder.com/movie/how-to-disappear-2023/,https://mubi.com/films/how-to-disappear-2023
Fallen Leaves,Kuolleet lehdet,2023,81,8.5,53923,68,https://mubifinder.com/movie/fallen-leaves-2023/,https://mubi.com/films/fallen-leaves-2023
Born in Flames,,1983,80,8.5,5157,232,https://mubifinder.com/movie/born-in-flames/,https://mubi.com/films/born-in-flames
Crying Is Allowed Laughing Is Not!,Ağlamak Serbest Gülmek Yasak,2024,42,7.9,724,1,https://mubifinder.com/movie/crying-is-allowed-laughing-is-not/,https://mubi.com/films/crying-is-allowed-laughing-is-not
Leto,Лето,2018,128,8.1,2187,1,https://mubifinder.com/movie/leto/,https://mubi.com/films/leto
An Angel at My Table,,1990,158,8.7,4161,19,https://mubifinder.com/movie/an-angel-at-my-table/,https://mubi.com/films/an-angel-at-my-table
Minari,,2020,116,8.1,4261,10,https://mubifinder.com/movie/minari/,https://mubi.com/films/minari
The Holdovers,,2023,133,8.7,5992,1,https://mubifinder.com/movie/the-holdovers/,https://mubi.com/films/the-holdovers
Grand Theft Hamlet,,2024,91,8.3,15327,248,https://mubifinder.com/movie/grand-theft-hamlet/,https://mubi.com/films/grand-theft-hamlet
Tenement,Apartman Boşluğu,2023,20,6.6,610,1,https://mubifinder.com/movie/apartman-boslugu/,https://mubi.com/films/apartman-boslugu
Transylvania,,2006,98,8.2,1884,1,https://mubifinder.com/movie/transylvania/,https://mubi.com/films/transylvania
Shanghai Blues,Shang Hai Zhi Ye | 上海之夜 | Soeng Hoi Zi Je,1984,103,8.2,4224,220,https://mubifinder.com/movie/shanghai-blues/,https://mubi.com/films/shanghai-blues
Manchester by the Sea,,2016,131,8.6,11144,1,https://mubifinder.com/movie/manchester-by-the-sea/,https://mubi.com/films/manchester-by-the-sea
Pino,,2020,60,7.6,1688,247,https://mubifinder.com/movie/pino/,https://mubi.com/films/pino
L'avance,,2024,18,8.1,5800,207,https://mubifinder.com/movie/l-avance/,https://mubi.com/films/l-avance
Matt and Mara,,2024,80,7.4,14125,247,https://mubifinder.com/movie/matt-and-mara/,https://mubi.com/films/matt-and-mara
A Hero of Our Time,Zamanımızın Bir Kahramanı,2023,120,7.0,1401,1,https://mubifinder.com/movie/a-hero-of-our-time-2022/,https://mubi.com/films/a-hero-of-our-time-2022
Me and the Other,Ben ve O,2022,23,5.9,268,1,https://mubifinder.com/movie/me-and-the-other/,https://mubi.com/films/me-and-the-other
The Girl with the Needle,Pigen med nålen,2024,123,9.0,53763,183,https://mubifinder.com/movie/the-girl-with-the-needle/,https://mubi.com/films/the-girl-with-the-needle
Beauty Is Not a Sin,,2024,8,6.0,6173,248,https://mubifinder.com/movie/beauty-is-not-a-sin/,https://mubi.com/films/beauty-is-not-a-sin
Touch of Crude,,2022,28,6.0,1919,248,https://mubifinder.com/movie/touch-of-crude/,https://mubi.com/films/touch-of-crude
The Here After,Efterskalv,2015,102,7.6,4634,228,https://mubifinder.com/movie/the-here-after/,https://mubi.com/films/the-here-after
Sleep of the Crow,Karganın Uykusu,2023,89,7.8,760,1,https://mubifinder.com/movie/sleep-of-the-crow/,https://mubi.com/films/sleep-of-the-crow
Mishima: A Life in Four Chapters,,1985,122,8.7,8634,215,https://mubifinder.com/movie/mishima-a-life-in-four-chapters/,https://mubi.com/films/mishima-a-life-in-four-chapters
Pepe,,2024,123,7.9,3354,234,https://mubifinder.com/movie/pepe-2024/,https://mubi.com/films/pepe-2024
The Protagonists,,1999,92,6.1,4341,234,https://mubifinder.com/movie/the-protagonists-1999/,https://mubi.com/films/the-protagonists-1999
"Pepi, Luci, Bom","Pepi, Luci, Bom y otras chicas del montón",1980,81,7.4,6930,227,https://mubifinder.com/movie/pepi-luci-bom/,https://mubi.com/films/pepi-luci-bom
Bird,,2024,119,8.6,20637,69,https://mubifinder.com/movie/bird/,https://mubi.com/films/bird
An Urban Allegory,Allégorie citadine,2024,21,8.6,12679,234,https://mubifinder.com/movie/allegorie-citadine/,https://mubi.com/films/allegorie-citadine
Dahomey,,2024,68,8.5,12653,131,https://mubifinder.com/movie/dahomey/,https://mubi.com/films/dahomey
Emilia Pérez,,2024,133,7.6,9049,9,https://mubifinder.com/movie/emilia-perez/,https://mubi.com/films/emilia-perez
Trailer of the Film That Will Never Exist: 'Phony Wars',Film annonce du film qui n'existera jamais: 'Drôles de Guerres',2023,20,7.0,1686,164,https://mubifinder.com/movie/trailer-of-the-film-that-will-never-exist-phony-wars/,https://mubi.com/films/trailer-of-the-film-that-will-never-exist-phony-wars
Working Girls,,1986,93,8.1,5617,205,https://mubifinder.com/movie/working-girls/,https://mubi.com/films/working-girls
Shakti,,2019,19,6.6,7399,226,https://mubifinder.com/movie/shakti-2019/,https://mubi.com/films/shakti-2019
The Magic Gloves,Los guantes mágicos,2003,89,7.5,8665,225,https://mubifinder.com/movie/the-magic-gloves/,https://mubi.com/films/the-magic-gloves
Silvia Prieto,,1999,93,7.7,16536,227,https://mubifinder.com/movie/silvia-prieto/,https://mubi.com/films/silvia-prieto
Rapado,,1992,76,7.1,6735,229,https://mubifinder.com/movie/rapado/,https://mubi.com/films/rapado
Don't Let Them Shoot the Kite,Uçurtmayı Vurmasınlar,1989,90,9.1,6800,248,https://mubifinder.com/movie/ucurtmayi-vurmasinlar/,https://mubi.com/films/ucurtmayi-vurmasinlar
Witches,,2024,90,9.0,24464,248,https://mubifinder.com/movie/witches/,https://mubi.com/films/witches
An Odd Turn,Un movimiento extraño,2024,23,6.2,6555,248,https://mubifinder.com/movie/an-odd-turn/,https://mubi.com/films/an-odd-turn
Orlando,,1992,94,8.5,9354,77,https://mubifinder.com/movie/orlando/,https://mubi.com/films/orlando
Yuki's Sun,ユキの太陽 | Yuki no taiyō,1972,5,7.4,20594,221,https://mubifinder.com/movie/yukis-sun/,https://mubi.com/films/yukis-sun
The Substance,,2024,141,8.3,122166,74,https://mubifinder.com/movie/the-substance/,https://mubi.com/films/the-substance
Swallow,,2019,95,8.1,26493,63,https://mubifinder.com/movie/swallow/,https://mubi.com/films/swallow
Revenge,,2017,108,7.6,17175,66,https://mubifinder.com/movie/revenge-2017/,https://mubi.com/films/revenge-2017
Occupied City,,2023,251,8.1,1399,170,https://mubifinder.com/movie/occupied-city/,https://mubi.com/films/occupied-city
Bloodsuckers,Blutsauger,2021,128,7.5,3206,216,https://mubifinder.com/movie/bloodsuckers-2021/,https://mubi.com/films/bloodsuckers-2021
Humanist Vampire Seeking Consenting Suicidal Person,Vampire humaniste cherche suicidaire consentant,2023,91,8.5,9830,158,https://mubifinder.com/movie/humanist-vampire-seeking-consenting-suicidal-person/,https://mubi.com/films/humanist-vampire-seeking-consenting-suicidal-person
A Place Without Fear,,2023,30,7.8,3789,248,https://mubifinder.com/movie/a-place-without-fear/,https://mubi.com/films/a-place-without-fear
The Fall,,2006,119,9.2,42827,221,https://mubifinder.com/movie/the-fall/,https://mubi.com/films/the-fall
Reality+,,2014,22,8.3,34239,248,https://mubifinder.com/movie/reality-2014-coralie-fargeat/,https://mubi.com/films/reality-2014-coralie-fargeat
Her First,Onun Filmi,2018,75,7.6,179,1,https://mubifinder.com/movie/her-first/,https://mubi.com/films/her-first
My First Film,,2024,100,7.8,9445,248,https://mubifinder.com/movie/my-first-film/,https://mubi.com/films/my-first-film
Caprice,,1986,27,7.4,6745,233,https://mubifinder.com/movie/caprice-1983/,https://mubi.com/films/caprice-1983
Faruk,,2024,97,8.3,2286,1,https://mubifinder.com/movie/faruk/,https://mubi.com/films/faruk
Ga-ga: Glory to the Heroes,"Ga, Ga - Chwala bohaterom",1985,81,7.4,1413,248,https://mubifinder.com/movie/ga-ga-glory-to-the-heroes/,https://mubi.com/films/ga-ga-glory-to-the-heroes
Golem,,1979,90,7.6,2925,248,https://mubifinder.com/movie/golem/,https://mubi.com/films/golem
"O-Bi, O-Ba: The End of Civilization","O-bi, O-ba - Koniec Cywilizacji",1984,86,8.1,2862,248,https://mubifinder.com/movie/o-bi-o-ba-the-end-of-civilization/,https://mubi.com/films/o-bi-o-ba-the-end-of-civilization
The War of the Worlds: Next Century,Wojna swiatów - nastepne stulecie,1981,94,7.9,2141,248,https://mubifinder.com/movie/the-war-of-the-world-next-centur/,https://mubi.com/films/the-war-of-the-world-next-centur
The Sacrifice,Offret,1986,149,8.8,25833,185,https://mubifinder.com/movie/the-sacrifice/,https://mubi.com/films/the-sacrifice
The Hypnosis,Hypnosen,2023,99,7.8,14419,196,https://mubifinder.com/movie/the-hypnosis-2023/,https://mubi.com/films/the-hypnosis-2023
Hara-kiri: Death of a Samurai,Ichimei | 一命,2011,128,8.4,4535,67,https://mubifinder.com/movie/hara-kiri-death-of-a-samurai/,https://mubi.com/films/hara-kiri-death-of-a-samurai
Memory,,2023,103,8.6,5464,1,https://mubifinder.com/movie/memory-2023/,https://mubi.com/films/memory-2023
I Had a Dream You Won’t Understand Even If I Tell,"Bir Rüya Gördüm, Anlatsam da Anlamazsınız",2019,66,8.9,700,1,https://mubifinder.com/movie/i-had-a-dream-you-won-t-understand-even-if-i-tell/,https://mubi.com/films/i-had-a-dream-you-won-t-understand-even-if-i-tell
Coma,,2022,81,6.9,1289,207,https://mubifinder.com/movie/coma-2022/,https://mubi.com/films/coma-2022
Eagle vs Shark,,2007,84,7.7,4497,33,https://mubifinder.com/movie/eagle-vs-shark/,https://mubi.com/films/eagle-vs-shark
Control,,2007,122,8.3,15421,87,https://mubifinder.com/movie/control/,https://mubi.com/films/control
Dammi,,2023,19,7.5,6087,248,https://mubifinder.com/movie/dammi/,https://mubi.com/films/dammi
Rewind & Play,,2022,66,8.5,3816,248,https://mubifinder.com/movie/rewind-play/,https://mubi.com/films/rewind-play
Crossing the Bridge - The Sound of Istanbul,,2005,91,9.1,12901,248,https://mubifinder.com/movie/crossing-the-bridge-the-sound-of-istanbul/,https://mubi.com/films/crossing-the-bridge-the-sound-of-istanbul
This Closeness,,2023,89,7.3,12293,248,https://mubifinder.com/movie/this-closeness/,https://mubi.com/films/this-closeness
Actual People,,2021,84,7.3,13396,248,https://mubifinder.com/movie/actual-people/,https://mubi.com/films/actual-people
Shrooms,,2023,18,7.5,6864,248,https://mubifinder.com/movie/shrooms-2023/,https://mubi.com/films/shrooms-2023
Incoherence,지리멸렬 | Ji-ri-myeol-lyeol,1994,31,7.9,10516,224,https://mubifinder.com/movie/incoherence/,https://mubi.com/films/incoherence
Made in England: The Films of Powell and Pressburger,,2024,133,9.3,3764,55,https://mubifinder.com/movie/made-in-england-the-films-of-powell-and-pressburger/,https://mubi.com/films/made-in-england-the-films-of-powell-and-pressburger
45365,,2009,93,8.1,1331,248,https://mubifinder.com/movie/-45365/,https://mubi.com/films/-45365
Gasoline Rainbow,,2023,111,8.0,12067,248,https://mubifinder.com/movie/gasoline-rainbow/,https://mubi.com/films/gasoline-rainbow
The Time Masters,Les Maîtres du temps,1982,79,8.7,3808,185,https://mubifinder.com/movie/the-time-masters/,https://mubi.com/films/the-time-masters
Fantastic Planet,La Planète sauvage,1973,72,8.8,36079,191,https://mubifinder.com/movie/fantastic-planet/,https://mubi.com/films/fantastic-planet
Do Not Expect Too Much from the End of the World,Nu aștepta prea mult de la sfârșitul lumii,2023,164,8.4,11510,199,https://mubifinder.com/movie/do-not-expect-too-much-from-the-end-of-the-world/,https://mubi.com/films/do-not-expect-too-much-from-the-end-of-the-world
High & Low - John Galliano,,2023,117,8.7,16956,147,https://mubifinder.com/movie/high-low-john-galliano/,https://mubi.com/films/high-low-john-galliano
Perfect Days,,2023,125,9.4,126992,124,https://mubifinder.com/movie/perfect-days/,https://mubi.com/films/perfect-days
Yannick,,2023,67,8.3,16481,220,https://mubifinder.com/movie/yannick/,https://mubi.com/films/yannick
The Settlers,Los Colonos,2023,100,8.5,27151,66,https://mubifinder.com/movie/the-settlers-2023/,https://mubi.com/films/the-settlers-2023
The Last Year of Darkness,午夜出走 | Wǔyè chūzǒu,2023,92,8.1,2984,68,https://mubifinder.com/movie/the-last-year-of-darkness/,https://mubi.com/films/the-last-year-of-darkness
The Making of Priscilla,,2023,27,8.3,2806,43,https://mubifinder.com/movie/the-making-of-priscilla/,https://mubi.com/films/the-making-of-priscilla
Priscilla,,2023,114,7.4,42117,139,https://mubifinder.com/movie/priscilla/,https://mubi.com/films/priscilla
La antena,,2007,99,8.3,3862,248,https://mubifinder.com/movie/la-antena/,https://mubi.com/films/la-antena
Meeting the Man: James Baldwin in Paris,,1970,28,9.0,31027,248,https://mubifinder.com/movie/meeting-the-man-james-baldwin-in-paris/,https://mubi.com/films/meeting-the-man-james-baldwin-in-paris
How to Have Sex,,2023,91,7.2,34313,61,https://mubifinder.com/movie/how-to-have-sex/,https://mubi.com/films/how-to-have-sex
The Delinquents,Los Delincuentes,2023,190,7.7,22323,65,https://mubifinder.com/movie/los-delincuentes/,https://mubi.com/films/los-delincuentes
Inshallah a Boy,Inshallah Walad,2023,114,8.8,4839,22,https://mubifinder.com/movie/inshallah-a-boy/,https://mubi.com/films/inshallah-a-boy
Tavern Man,O Tasqueiro,2012,15,8.1,11222,232,https://mubifinder.com/movie/tavern-man/,https://mubi.com/films/tavern-man
Le Havre,,2011,93,8.7,14620,180,https://mubifinder.com/movie/le-havre/,https://mubi.com/films/le-havre
The Foundry,Valimo,2007,4,7.4,3028,203,https://mubifinder.com/movie/the-foundry-2007/,https://mubi.com/films/the-foundry-2007
Lights in the Dusk,Laitakaupungin valot,2006,77,7.9,8796,181,https://mubifinder.com/movie/lights-in-the-dusk/,https://mubi.com/films/lights-in-the-dusk
The Man Without a Past,Mies vailla menneisyyttä,2002,97,8.7,23258,180,https://mubifinder.com/movie/the-man-without-a-past/,https://mubi.com/films/the-man-without-a-past
Juha,,1999,78,7.7,1895,183,https://mubifinder.com/movie/juha/,https://mubi.com/films/juha
Drifting Clouds,Kauas pilvet karkaavat,1996,95,8.7,10871,178,https://mubifinder.com/movie/drifting-clouds/,https://mubi.com/films/drifting-clouds
Total Balalaika Show,,1994,57,7.9,888,183,https://mubifinder.com/movie/total-balalaika-show/,https://mubi.com/films/total-balalaika-show
Leningrad Cowboys Meet Moses,,1994,93,6.8,1116,182,https://mubifinder.com/movie/leningrad-cowboys-meet-moses/,https://mubi.com/films/leningrad-cowboys-meet-moses
Leningrad Cowboys: These Boots,,1993,5,7.6,2449,183,https://mubifinder.com/movie/leningrad-cowboys-these-boots/,https://mubi.com/films/leningrad-cowboys-these-boots
"Take Care of Your Scarf, Tatiana","Pidä huivista kiinni, Tatjana",1994,62,8.0,3493,183,https://mubifinder.com/movie/take-care-of-your-scarf-tatiana/,https://mubi.com/films/take-care-of-your-scarf-tatiana
The Bohemian Life,La vie de bohème,1992,103,8.8,5065,180,https://mubifinder.com/movie/the-bohemian-life/,https://mubi.com/films/the-bohemian-life
Leningrad Cowboys: Those Were the Days [MV],,1992,5,7.9,1730,183,https://mubifinder.com/movie/those-were-the-days-1992/,https://mubi.com/films/those-were-the-days-1992
I Hired a Contract Killer,,1990,80,8.1,10541,192,https://mubifinder.com/movie/i-hired-a-contract-killer/,https://mubi.com/films/i-hired-a-contract-killer
The Match Factory Girl,Tulitikkutehtaan tyttö,1990,69,8.4,13507,180,https://mubifinder.com/movie/the-match-factory-girl/,https://mubi.com/films/the-match-factory-girl
Leningrad Cowboys Go America,,1989,79,8.2,5435,179,https://mubifinder.com/movie/leningrad-cowboys-go-america/,https://mubi.com/films/leningrad-cowboys-go-america
Ariel,,1988,73,8.5,10586,184,https://mubifinder.com/movie/ariel/,https://mubi.com/films/ariel
Leningrad Cowboys: Thru the Wire,,1987,6,7.8,1809,183,https://mubifinder.com/movie/thru-the-wire/,https://mubi.com/films/thru-the-wire
Melrose: Rich Little Bitch [MV],,1987,4,6.9,1256,202,https://mubifinder.com/movie/melrose-rich-little-bitch/,https://mubi.com/films/melrose-rich-little-bitch
Rocky VI,,1986,9,6.8,4518,183,https://mubifinder.com/movie/rocky-vi/,https://mubi.com/films/rocky-vi
Hamlet Goes Business,Hamlet liikemaailmassa,1987,89,7.6,1838,184,https://mubifinder.com/movie/hamlet-goes-business/,https://mubi.com/films/hamlet-goes-business
Calamari Union,,1985,81,7.5,2460,182,https://mubifinder.com/movie/calamari-union/,https://mubi.com/films/calamari-union
Shadows in Paradise,Varjoja paratiisissa,1986,74,8.4,15428,181,https://mubifinder.com/movie/shadows-in-paradise/,https://mubi.com/films/shadows-in-paradise
Crime and Punishment,Rikos ja rangaistus,1983,93,7.9,5042,183,https://mubifinder.com/movie/crime-and-punishment-1983/,https://mubi.com/films/crime-and-punishment-1983
Un Film Dramatique,,2019,114,7.5,1077,248,https://mubifinder.com/movie/un-film-dramatique/,https://mubi.com/films/un-film-dramatique
Passages,,2023,92,7.5,50450,80,https://mubifinder.com/movie/passages-2022/,https://mubi.com/films/passages-2022
Emerald Cities,,1983,91,7.2,919,248,https://mubifinder.com/movie/emerald-cities/,https://mubi.com/films/emerald-cities
House of Seven Belles,,1979,92,5.5,537,248,https://mubifinder.com/movie/house-of-seven-belles/,https://mubi.com/films/house-of-seven-belles
The Believer's Heaven,,1977,61,5.2,607,248,https://mubifinder.com/movie/the-believer-s-heaven/,https://mubi.com/films/the-believer-s-heaven
The Burning Hell,,1974,59,5.6,1116,248,https://mubifinder.com/movie/the-burning-hell/,https://mubi.com/films/the-burning-hell
Walk the Walk,,1970,88,5.6,521,248,https://mubifinder.com/movie/walk-the-walk-1970/,https://mubi.com/films/walk-the-walk-1970
Cottonpickin' Chickenpickers,,1967,91,5.2,454,248,https://mubifinder.com/movie/cottonpickin-chickenpickers/,https://mubi.com/films/cottonpickin-chickenpickers
She-Man: A Story of Fixation,,1967,66,6.0,974,248,https://mubifinder.com/movie/she-man-a-story-of-fixation/,https://mubi.com/films/she-man-a-story-of-fixation
Hot Thrills and Warm Chills,,1967,69,4.7,707,248,https://mubifinder.com/movie/hot-thrills-and-warm-chills/,https://mubi.com/films/hot-thrills-and-warm-chills
"If Footmen Tire You, What Will Horses Do?",,1971,54,5.6,350,248,https://mubifinder.com/movie/if-footmen-tire-you-what-will-horses-do/,https://mubi.com/films/if-footmen-tire-you-what-will-horses-do
Shanty Tramp,,1967,71,6.4,1249,248,https://mubifinder.com/movie/shanty-tramp/,https://mubi.com/films/shanty-tramp
"Spring Night, Summer Night",,1967,84,7.9,2251,248,https://mubifinder.com/movie/spring-night-summer-night/,https://mubi.com/films/spring-night-summer-night
One Shocking Moment,,1965,72,5.4,928,248,https://mubifinder.com/movie/one-shocking-moment/,https://mubi.com/films/one-shocking-moment
Chained Girls,,1965,62,4.8,993,248,https://mubifinder.com/movie/chained-girls/,https://mubi.com/films/chained-girls
Murder in Mississippi,,1965,83,6.3,657,248,https://mubifinder.com/movie/murder-in-mississippi-1965/,https://mubi.com/films/murder-in-mississippi-1965
The Maidens of Fetish Street,,1966,64,5.6,1593,248,https://mubifinder.com/movie/the-girls-on-f-street/,https://mubi.com/films/the-girls-on-f-street
The Nest of the Cuckoo Birds,,1965,83,6.0,1437,248,https://mubifinder.com/movie/the-nest-of-the-cuckoo-birds/,https://mubi.com/films/the-nest-of-the-cuckoo-birds
Orgy of the Dead,,1965,91,4.3,2469,248,https://mubifinder.com/movie/orgy-of-the-dead/,https://mubi.com/films/orgy-of-the-dead
Olga's House of Shame,,1964,70,4.5,1006,248,https://mubifinder.com/movie/olga-s-house-of-shame/,https://mubi.com/films/olga-s-house-of-shame
Stark Fear,,1962,86,6.4,1054,248,https://mubifinder.com/movie/stark-fear/,https://mubi.com/films/stark-fear
House on Bare Mountain,,1962,62,4.9,1075,248,https://mubifinder.com/movie/house-on-bare-mountain/,https://mubi.com/films/house-on-bare-mountain
Wild Guitar,,1962,90,6.5,951,248,https://mubifinder.com/movie/wild-guitar/,https://mubi.com/films/wild-guitar
Satan in High Heels,,1962,91,6.4,1382,248,https://mubifinder.com/movie/satan-in-high-heels/,https://mubi.com/films/satan-in-high-heels
Night Tide,,1961,86,7.3,5835,248,https://mubifinder.com/movie/night-tide/,https://mubi.com/films/night-tide
Guilty Bystander,,1950,92,6.6,2268,248,https://mubifinder.com/movie/guilty-bystander/,https://mubi.com/films/guilty-bystander
The Future Tense,,2022,89,8.3,2842,248,https://mubifinder.com/movie/the-future-tense/,https://mubi.com/films/the-future-tense
Medusa Deluxe,,2022,101,7.6,12814,101,https://mubifinder.com/movie/medusa-deluxe/,https://mubi.com/films/medusa-deluxe
Meeting Jim,,2018,77,9.2,1637,1,https://mubifinder.com/movie/meeting-jim/,https://mubi.com/films/meeting-jim
The Searches,Las búsquedas,2013,75,7.6,644,226,https://mubifinder.com/movie/the-searches/,https://mubi.com/films/the-searches
Rimini,,2022,115,7.7,1058,54,https://mubifinder.com/movie/rimini/,https://mubi.com/films/rimini
Return to Seoul,Retour à Séoul,2022,119,7.7,15647,37,https://mubifinder.com/movie/return-to-seoul/,https://mubi.com/films/return-to-seoul
One Fine Morning,Un beau matin,2022,114,8.2,18247,17,https://mubifinder.com/movie/one-fine-morning-2022/,https://mubi.com/films/one-fine-morning-2022
Antichrist,,2009,104,7.7,29109,66,https://mubifinder.com/movie/antichrist/,https://mubi.com/films/antichrist
The Five Devils,Les cinq diables,2022,96,8.3,33900,81,https://mubifinder.com/movie/les-cinq-diables/,https://mubi.com/films/les-cinq-diables
"Love, Deutschmarks and Death","Aşk, Mark ve Ölüm",2022,99,9.3,7754,2,https://mubifinder.com/movie/love-deutschmark-and-death/,https://mubi.com/films/love-deutschmark-and-death
The Boss of It All,Direktøren for det hele,2006,100,7.7,4982,63,https://mubifinder.com/movie/the-boss-of-it-all/,https://mubi.com/films/the-boss-of-it-all
Close,,2022,104,9.3,83651,152,https://mubifinder.com/movie/close-2022/,https://mubi.com/films/close-2022
Manderlay,,2005,133,7.8,5461,63,https://mubifinder.com/movie/manderlay/,https://mubi.com/films/manderlay
Dogville,,2003,178,8.8,32297,63,https://mubifinder.com/movie/dogville/,https://mubi.com/films/dogville
Chris the Swiss,,2018,90,8.5,1243,206,https://mubifinder.com/movie/chris-the-swiss/,https://mubi.com/films/chris-the-swiss
Please Baby Please,,2022,96,7.3,8971,186,https://mubifinder.com/movie/please-baby-please/,https://mubi.com/films/please-baby-please
The Five Obstructions,De fem benspænd,2003,88,8.1,4369,63,https://mubifinder.com/movie/the-five-obstructions/,https://mubi.com/films/the-five-obstructions
Leila's Brothers,Baradaran-e Leila,2022,160,9.5,17990,11,https://mubifinder.com/movie/leila-s-brothers/,https://mubi.com/films/leila-s-brothers
Dancer in the Dark,,2000,140,8.7,30752,47,https://mubifinder.com/movie/dancer-in-the-dark/,https://mubi.com/films/dancer-in-the-dark
The Idiots,Idioterne,1998,110,7.7,12144,67,https://mubifinder.com/movie/the-idiots/,https://mubi.com/films/the-idiots
Alcarràs,,2022,120,8.5,19695,86,https://mubifinder.com/movie/alcarras/,https://mubi.com/films/alcarras
Breaking the Waves,,1996,159,8.7,19324,63,https://mubifinder.com/movie/breaking-the-waves/,https://mubi.com/films/breaking-the-waves
Battle Royale,Batoru rowaiaru,2000,121,7.7,27831,54,https://mubifinder.com/movie/battle-royale/,https://mubi.com/films/battle-royale
Europa,,1991,108,8.2,7305,63,https://mubifinder.com/movie/europa/,https://mubi.com/films/europa
Epidemic,,1987,102,6.5,1998,63,https://mubifinder.com/movie/epidemic/,https://mubi.com/films/epidemic
The Element of Crime,Forbrydelsens element,1984,99,7.2,4036,63,https://mubifinder.com/movie/the-element-of-crime/,https://mubi.com/films/the-element-of-crime
